riotId,leaguePoints
KC NEXT ADKING#EUW,1981
Walid Georgey#EUW,1979
Razørk Activoo#razzz,1843
Naak Pado#VIT,1815
Odysseus#131,1802
FNC Mikyx#1998,1801
tukaan#tukan,1792
J1HUIV#000,1780
lyncas mad kid#lync1,1773
G2 SkewMond#3327,1771
Bonnie#BLDP,1676
Agurin#DND,1667
skygge kriger#EUV,1650
TwTv Phantasm#103,1643
DnDn123#123,1631
AFW Nano#AFW,1630
G2 Labrov#8085,1624
MPAINW XWRIS#AKAP,1595
BABO TOP#EUW,1574
Aslan#945,1572
Rhilech#15105,1563
Foutriquet#FOU,1559
G2 Hans Sama#12838,1548
G2 Caps#1323,1542
Tοαst#EUW,1542
DK Siwoo#dajor,1534
Ivory#EfEf,1532
SeRiN1#EUW,1532
HARPOON#2005,1520
Zest#D P,1518
G4KG05#0023,1517
Ignacarious#5232,1503
2001 05 09#2001,1489
K C#kcwin,1486
Kenal#EUW,1482
decay arc#EUW,1480
happy game#qwer,1467
Greed#1031,1466
K405#K405,1464
yukino cat#blue,1457
Barkoon#bark,1450
Cola#4463,1448
is it just me#EUW,1446
Thumbs Down#4847,1437
Boukada#EUW,1434
NattyNatt#2005,1418
SALUTATOUSCPOLO#POLO,1411
with you#eu1,1404
lego ninjago#vape,1404
Shëun#2530,1404
정성훈#2003,1403
chenzelot#LOT,1402
SMRADOCH ZICSSI#EUW,1401
Buggy2v9#EUW,1401
Cold#asd4,1396
rng victim#0867,1392
Kozi#Z10,1389
TheRoyalKanin#EUW,1385
Husum#EUW,1385
Cekeliniomzumdan#62343,1381
OLEG INSEC#OLEG,1380
Tea#2299,1375
Saku#ritou,1372
Simon Claw#Agent,1358
FUN k3y#EUW,1358
twtv Peng04#NMIXX,1358
Wufo#xdd,1356
LiL TommyG#EUW,1355
Opossos#侘 寂,1350
vovalaclasse#EUW,1348
Cachorro Alpha#razzz,1348
NORD Vizicsacsi#TOP,1342
Paixdia#Supp,1342
serein#MP7,1342
ShadowZerô#2805,1340
VIT Nisqy#LEC,1333
Phanta#107,1327
Maynter#EUW,1323
Who is thisss1#EUW,1323
stardewvalley67#EUW,1314
Targamas#5555,1313
xiao chao long#CHINA,1311
Mo Syzlak#123,1310
pt4#000,1306
Aileri#BOAT,1302
schnell next#EUW,1301
regate#EUW3,1300
lazysup#2025,1292
TwitchTVxKenzuke#EUW,1283
Carnagε#EUW,1283
Badlulu00#EUW,1281
Purple#3UVV,1279
Multirole Talent#EUW,1279
Sinmivak#777,1278
Po Gap#EUW,1268
MARIABECERRA FAN#MACA,1268
Falling Flower#SVT13,1266
note#Ryuk,1266
twtv Peng04#Aespa,1266
Zhuo Ding#ARC,1265
hahahahah#2218,1265
no sword#0507,1262
CsacsiCarry#TOP,1261
SPOOKY#LFT,1259
KISS OF DEATH#YEN,1258
TTV RiskReforged#Tokz,1255
Shizyphus#EUW,1254
Slice#lol,1252
Beanovich#bean,1252
David Lirola#goatツ,1248
Frost#matyi,1248
HRTS rin#euw10,1247
Jesklaa#EUW,1246
KDF DuDu#KING1,1245
Koldo#1233,1243
Rabble Arouser#EUW,1243
KCB 3XA#KCB,1242
Bgurin#4000,1242
KC Yiken#1111,1240
Azzapp#31415,1240
Kite Machine v2#EUW11,1238
Matixx#EUW,1236
Chance2Win#EUW,1235
Mark Forster#Flash,1234
ToongE#FSK,1229
bamboocleaner#kamil,1228
Painful#lol,1223
TTV BAASHH#EUW,1223
Artix von#12345,1223
indoor fish#EUW,1221
Rosinante#Rago,1220
ocsaV#EUW,1220
RYUVEN 狠心#影子君主,1215
Dkdldb#000,1211
Toto The Totoro#Toffe,1211
mixed emotions#0141,1210
Sung Jin woo#BAR,1210
Kaimietis3#EUW,1208
菜刀wangCASINO#ggx,1207
Destined#001,1206
G2 BrokenBlade#1918,1205
Jonathan Bailey#zzz,1203
alvarooo#EUW,1203
Biotic#123,1203
alix de souza#1111,1203
bluerzor#grind,1202
elramir#3161,1201
Night Slayer#SLAAY,1200
FireAscept#334,1199
TakeSet sama#stine,1198
LR Nemesis#LRAT,1197
septico1#EUW,1196
GW Matias#971,1195
Jankos#MYBAD,1194
the inescapable#RAT,1193
Notiko#EUW01,1189
Szygenda#EUW,1188
Badz#777,1184
Sayn CHOKBAR 1#EUW,1181
sendgoodsongs#4273,1181
Shinso#miaou,1181
komanche uchiha#elite,1180
fantomisto#MID,1179
Smolder Dad#0301,1176
KappaChungiLungi#DELUX,1176
Snoop Dogg#PLYCK,1175
TOG Six10#EUW3,1173
Domeeee#1806,1166
kzxktobxkut#EUW,1165
yebit#haha,1164
TheShygenda#EUW,1163
ismααα#EUW,1159
GNOME#MAGIC,1156
Yen is my Wife#EUW,1156
Desperate Nasus#EUW,1156
c0st0m#dane,1156
DesperateNasus#TWTV,1155
wariacik lolowy#2008,1154
Juif et puissant#EUW,1152
Ttv KoalachanLoL#TTV,1150
SKULLKNIGHT#00001,1150
c0cky movement#tukan,1149
Howling#321,1148
Nillee#EUW,1142
Januaryneverends#EU1,1141
Rush B P90#PT1,1139
nvid#4PIGS,1138
GOTHGIRL69#UWU,1137
faker baIIsack#0000,1137
TwTv EkkoSuna#2526,1136
qweasdfqwea#2506,1136
GrompulusKevinº#EUW,1132
Seonsu#Noula,1131
avarice61#PCS,1131
Raydioactiveman#0052,1130
Ryuk#adc,1128
SUP Carry#999,1125
Soldier#Asu,1125
Chill1000#larry,1124
JEZUUU#0814,1124
Dinosaur#RAWRz,1124
GX Francisco#GOAT,1123
maciek11#joker,1123
WiIIyrex Fanboy#EUW,1120
Kiro#rain,1120
Abo obidaaa#111,1120
xKenzuke#1453,1120
Woldjo#2005,1119
iamsobek#7777,1119
LR Rekkles#SUP,1119
Itsallindetails#UKR,1117
chaaz47STA#NNIS,1116
Finn#0306,1114
Journeys End#Gwyn,1113
wolorz#1481,1111
noobsupp#noob,1110
star zall#twtv,1108
gkucqklg#EUW,1106
Zwyrøø#soul,1105
Unbrøken#RIVEN,1104
yuros#1205,1104
Mazs#EUW,1104
Skillshot Lander#EUW,1103
qweasdx#EUW,1103
VOICES TOOK OVER#LOLXD,1101
Decay0#EUW,1101
NightyNN2#2222,1101
why lose#whyyy,1100
K Man#EUW12,1100
Feistyy#1219,1098
THE GREATEST#xanny,1098
Lurox#Lurox,1098
Juan Gasolina#EUW,1098
brelia4real#EUW,1098
Aggressive Play#EUW,1097
unforgiven#12321,1097
Dark Wanderer#2956,1097
Pyrka#EUW4,1096
Τadej Pogačar#Soria,1096
tibor#zzz,1094
Griefzilla#EUW12,1094
Spear Shot#EUW2,1093
asdfasdf#0308,1093
L Vasco O #EUW,1092
PoEs tk#EUW,1092
TwTv BZ EUW#INSHL,1092
メルエム#king,1091
DONT GET C#EUW,1091
Autumn Leaf#Seal,1090
MIDKING#kkkk,1089
Noah7#3977,1086
katsing galang#GURU,1086
Daksider#FOCUS,1086
Berry Bulk#BULK,1086
TOXY#TXY1,1084
Stormaxx#EUW,1084
The Lost Petals#Aimer,1083
fear dagger#4810,1081
1K99HX6ZSG3726LG#00000,1081
rettebeb#11241,1081
SC MélyaP#2406,1080
nat#mrrd,1080
B2U Nord#B2U,1080
pickaboowhatchu#doing,1080
Marlboro Edge#kboom,1080
Joki37#EUW,1079
I WANT BE COACH#0003,1078
BRR BRR PATAPIM#VAYNE,1078
humble Marty#EUW,1076
Nubobo#EUW,1076
FF15#2501,1075
Iziio#00000,1075
Afriibi#AFB,1075
asfdasfd#afsd,1075
Cribob#EUW0,1074
Maxlore#EUW,1074
Boltox#EUW,1073
Only Spatula#999,1073
aarontheplumber#MrJay,1073
Loose Ends999#EUW,1072
ΑrchΦiend#666,1072
Bayo#x123,1072
Turret Syndrome#HEIM,1072
Knurble MID#5555,1072
S2mIE100LeSH#sigma,1069
Aurelion Sol God#EUW,1069
Yami Sukehiro#3309,1068
Akanania#1213,1066
eLS Louis#atlas,1066
raikquaza#kata,1066
MIDKING#0303,1065
hesszero#PAWEL,1064
Évangelyne#BELGE,1064
nmvz#5548,1063
eeZaZ#333,1061
Forstie#UWU,1061
YOUAREPERFECT#PRFCT,1060
EŞREF TEK#BRKN,1059
Faz#EUW2,1054
Spoodersussi v3#EUW,1044
